index,P,Q,VaR,VaI,VbR,VbI,VcR,VcI
3372,45255.23,-0.82,202.21,-1.99,-103.07,-180.38,-103.52,176.1
3373,45260.37,-0.64,202.21,-1.99,-103.07,-180.38,-103.52,176.1
3374,45265.72,-0.46,202.21,-1.99,-103.06,-180.38,-103.52,176.1
3375,45271.27,-0.28,202.21,-1.99,-103.06,-180.38,-103.52,176.1
3376,45277.02,-0.1,202.21,-1.99,-103.06,-180.38,-103.53,176.1
3377,45282.96,0.07,202.21,-1.99,-103.06,-180.39,-103.53,176.1
3378,45289.07,0.24,202.21,-1.99,-103.06,-180.39,-103.53,176.1
3379,45295.36,0.41,202.21,-1.99,-103.06,-180.39,-103.53,176.1
3380,45301.82,-0.3,202.22,-1.99,-103.06,-180.39,-103.53,176.1
3381,45308.44,0.74,202.22,-1.99,-103.06,-180.39,-103.53,176.1
3382,45315.2,0.9,202.22,-1.99,-103.06,-180.39,-103.53,176.1
3383,45322.11,1.06,202.22,-1.98,-103.06,-180.39,-103.53,176.1
3384,45329.16,1.2,202.22,-1.98,-103.06,-180.39,-103.53,176.1
3385,45336.34,1.37,202.22,-1.98,-103.06,-180.39,-103.54,176.1
3386,45343.64,1.52,202.22,-1.98,-103.06,-180.39,-103.54,176.09
3387,45351.06,1.58,202.22,-1.98,-103.06,-180.39,-103.54,176.09
3388,45358.58,1.81,202.22,-1.98,-103.06,-180.39,-103.54,176.09
3389,45366.21,1.95,202.22,-1.98,-103.06,-180.4,-103.54,176.09
3390,45373.93,2.09,202.22,-1.98,-103.06,-180.4,-103.54,176.09
3391,45381.74,2.22,202.22,-1.98,-103.05,-180.4,-103.54,176.09
3392,45389.64,2.35,202.23,-1.97,-103.05,-180.4,-103.55,176.09
3393,45397.6,2.48,202.23,-1.97,-103.05,-180.4,-103.55,176.09
3394,45405.63,2.6,202.23,-1.97,-103.05,-180.4,-103.55,176.09
3395,45413.73,2.72,202.23,-1.97,-103.05,-180.4,-103.55,176.09
3396,45421.88,2.84,202.23,-1.97,-103.05,-180.4,-103.55,176.09
3397,45430.07,2.95,202.23,-1.97,-103.05,-180.4,-103.55,176.09
3398,45438.31,3.06,202.23,-1.97,-103.05,-180.4,-103.55,176.09
3399,45446.58,3.17,202.23,-1.97,-103.05,-180.41,-103.55,176.09
3400,45454.89,3.27,202.23,-1.96,-103.05,-180.41,-103.56,176.09
3401,45463.21,3.37,202.23,-1.96,-103.05,-180.41,-103.56,176.09
3402,45471.55,3.46,202.23,-1.96,-103.05,-180.41,-103.56,176.09
3403,45479.9,3.55,202.24,-1.96,-103.05,-180.41,-103.56,176.09
3404,45488.26,3.64,202.24,-1.96,-103.04,-180.41,-103.56,176.09
3405,45496.61,3.72,202.24,-1.96,-103.04,-180.41,-103.56,176.09
3406,45504.96,3.8,202.24,-1.96,-103.04,-180.41,-103.56,176.09
3407,45513.3,3.88,202.24,-1.96,-103.04,-180.41,-103.57,176.09
3408,45521.61,3.95,202.24,-1.95,-103.04,-180.41,-103.57,176.09
3409,45529.91,4.02,202.24,-1.95,-103.04,-180.42,-103.57,176.09
3410,45538.17,4.08,202.24,-1.95,-103.04,-180.42,-103.57,176.09
3411,45546.4,4.14,202.24,-1.95,-103.04,-180.42,-103.57,176.09
3412,45554.6,4.2,202.24,-1.95,-103.04,-180.42,-103.57,176.09
3413,45562.75,4.25,202.24,-1.95,-103.04,-180.42,-103.57,176.09
3414,45570.84,4.3,202.25,-1.95,-103.04,-180.42,-103.58,176.09
3415,45578.89,4.35,202.25,-1.95,-103.04,-180.42,-103.58,176.09
3416,45586.88,4.39,202.25,-1.94,-103.04,-180.42,-103.58,176.09
3417,45594.81,4.43,202.25,-1.94,-103.03,-180.42,-103.58,176.09
3418,45602.66,4.46,202.25,-1.94,-103.03,-180.42,-103.58,176.09
3419,45610.45,4.5,202.25,-1.94,-103.03,-180.43,-103.58,176.09
3420,45618.16,4.52,202.25,-1.94,-103.03,-180.43,-103.58,176.09
3421,45625.8,4.55,202.25,-1.94,-103.03,-180.43,-103.59,176.09
3422,45633.35,4.57,202.25,-1.94,-103.03,-180.43,-103.59,176.09
3423,45640.81,4.59,202.25,-1.94,-103.03,-180.43,-103.59,176.09
3424,45648.18,4.6,202.25,-1.94,-103.03,-180.43,-103.59,176.09
3425,45655.46,4.61,202.25,-1.93,-103.03,-180.43,-103.59,176.09
3426,45662.64,4.62,202.26,-1.93,-103.03,-180.43,-103.59,176.09
3427,45669.72,4.63,202.26,-1.93,-103.03,-180.43,-103.59,176.09
3428,45676.69,4.63,202.26,-1.93,-103.03,-180.43,-103.59,176.09
3429,45683.56,4.63,202.26,-1.93,-103.03,-180.43,-103.6,176.09
3430,45690.32,4.62,202.26,-1.93,-103.03,-180.43,-103.6,176.09
3431,45696.97,4.62,202.26,-1.93,-103.03,-180.44,-103.6,176.09
3432,45703.5,4.6,202.26,-1.93,-103.02,-180.44,-103.6,176.09
3433,45709.91,4.59,202.26,-1.93,-103.02,-180.44,-103.6,176.09
3434,45716.2,4.58,202.26,-1.93,-103.02,-180.44,-103.6,176.09
3435,45722.37,4.56,202.26,-1.92,-103.02,-180.44,-103.6,176.09
3436,45728.42,4.53,202.26,-1.92,-103.02,-180.44,-103.6,176.09
3437,45734.34,4.51,202.26,-1.92,-103.02,-180.44,-103.6,176.09
3438,45740.12,4.48,202.26,-1.92,-103.02,-180.44,-103.61,176.09
3439,45745.78,4.45,202.26,-1.92,-103.02,-180.44,-103.61,176.09
3440,45751.31,4.42,202.26,-1.92,-103.02,-180.44,-103.61,176.09
3441,45756.7,4.38,202.27,-1.92,-103.02,-180.44,-103.61,176.09
3442,45761.96,4.35,202.27,-1.92,-103.02,-180.44,-103.61,176.09
3443,45767.08,4.31,202.27,-1.92,-103.02,-180.44,-103.61,176.09
3444,45772.06,4.27,202.27,-1.92,-103.02,-180.44,-103.61,176.09
3445,45776.91,4.22,202.27,-1.92,-103.02,-180.45,-103.61,176.09
3446,45781.61,4.18,202.27,-1.92,-103.02,-180.45,-103.61,176.09
3447,45786.17,4.13,202.27,-1.91,-103.02,-180.45,-103.61,176.09
3448,45790.6,4.08,202.27,-1.91,-103.02,-180.45,-103.61,176.09
3449,45794.88,4.02,202.27,-1.91,-103.02,-180.45,-103.61,176.09
3450,45799.01,3.97,202.27,-1.91,-103.02,-180.45,-103.62,176.09
3451,45803.0,3.91,202.27,-1.91,-103.02,-180.45,-103.62,176.09
3452,45806.85,3.86,202.27,-1.91,-103.01,-180.45,-103.62,176.09
3453,45810.56,3.8,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3454,45814.12,3.74,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3455,45817.54,3.67,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3456,45820.81,3.61,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3457,45823.94,3.54,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3458,45826.92,3.48,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3459,45829.76,3.41,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3460,45832.46,3.34,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3461,45835.02,3.27,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3462,45837.43,3.2,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3463,45839.7,3.12,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3464,45841.84,3.05,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3465,45843.83,2.97,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3466,45845.68,2.9,202.27,-1.91,-103.01,-180.45,-103.62,176.08
3467,45847.4,2.82,202.27,-1.9,-103.01,-180.45,-103.62,176.08
3468,45848.98,2.75,202.27,-1.9,-103.01,-180.45,-103.62,176.08
3469,45850.42,2.67,202.27,-1.9,-103.01,-180.45,-103.62,176.08
3470,45851.73,2.59,202.27,-1.9,-103.01,-180.45,-103.62,176.08
3471,45852.91,2.51,202.28,-1.9,-103.01,-180.45,-103.62,176.08
3472,45853.96,2.43,202.28,-1.9,-103.01,-180.45,-103.63,176.08
3473,45854.87,2.35,202.28,-1.9,-103.01,-180.45,-103.63,176.08
3474,45855.66,2.27,202.28,-1.9,-103.01,-180.45,-103.63,176.08
3475,45856.32,2.19,202.28,-1.9,-103.01,-180.45,-103.63,176.08
3476,45856.85,2.11,202.28,-1.9,-103.01,-180.45,-103.63,176.08
3477,45857.26,2.03,202.28,-1.9,-103.01,-180.45,-103.63,176.08
3478,45857.55,1.95,202.28,-1.9,-103.01,-180.45,-103.63,176.08
3479,45857.72,1.87,202.28,-1.9,-103.01,-180.45,-103.63,176.08
3480,43452.32,83.5,191.4,-1.49,-97.22,-171.18,-98.54,166.39
3481,43450.92,2.1,191.14,-1.9,-97.48,-170.88,-98.09,166.48
3482,43487.07,3.47,191.12,-1.89,-97.47,-170.87,-98.08,166.46
3483,43528.85,4.46,191.12,-1.88,-97.46,-170.87,-98.09,166.46
3484,43571.44,5.64,191.13,-1.87,-97.46,-170.88,-98.1,166.45
3485,43614.71,6.77,191.13,-1.87,-97.45,-170.88,-98.11,166.45
3486,43658.61,7.94,191.14,-1.86,-97.45,-170.89,-98.11,166.45
3487,43703.1,9.04,191.14,-1.85,-97.45,-170.89,-98.12,166.45
3488,43748.13,10.12,191.15,-1.85,-97.44,-170.9,-98.13,166.45
3489,43793.66,11.18,191.16,-1.84,-97.44,-170.91,-98.14,166.45
3490,43839.66,12.22,191.16,-1.83,-97.43,-170.91,-98.15,166.45
3491,43886.08,13.23,191.17,-1.82,-97.43,-170.92,-98.16,166.45
3492,43932.89,14.22,191.17,-1.82,-97.42,-170.93,-98.17,166.45
3493,43980.05,15.18,191.18,-1.81,-97.42,-170.93,-98.17,166.45
3494,44027.51,16.11,191.18,-1.8,-97.41,-170.94,-98.18,166.45
3495,44075.25,17.02,191.19,-1.79,-97.41,-170.94,-98.19,166.45
3496,44123.23,17.9,191.19,-1.78,-97.4,-170.95,-98.2,166.44
3497,44171.41,18.62,191.2,-1.78,-97.4,-170.96,-98.21,166.44
3498,44219.75,19.59,191.21,-1.77,-97.39,-170.96,-98.22,166.44
3499,44268.22,20.41,191.21,-1.76,-97.39,-170.97,-98.23,166.44
3500,44316.78,21.18,191.22,-1.75,-97.39,-170.98,-98.24,166.44
3501,44365.41,21.94,191.22,-1.75,-97.38,-170.98,-98.25,166.44
3502,44414.06,22.67,191.23,-1.74,-97.38,-170.99,-98.26,166.44
3503,44462.71,23.37,191.24,-1.73,-97.37,-171.0,-98.26,166.44
3504,44511.32,24.05,191.24,-1.72,-97.37,-171.0,-98.27,166.44
3505,44559.87,24.7,191.25,-1.71,-97.36,-171.01,-98.28,166.44
3506,44608.31,25.32,191.25,-1.71,-97.36,-171.02,-98.29,166.43
3507,44656.63,25.93,191.26,-1.7,-97.35,-171.02,-98.3,166.43
3508,44704.79,26.49,191.27,-1.69,-97.35,-171.03,-98.31,166.43
3509,44752.77,27.03,191.27,-1.68,-97.34,-171.03,-98.32,166.43
3510,44800.53,27.54,191.28,-1.67,-97.34,-171.04,-98.33,166.43
3511,44848.05,28.05,191.28,-1.67,-97.33,-171.05,-98.34,166.43
3512,44895.31,28.52,191.29,-1.66,-97.33,-171.05,-98.35,166.43
3513,44942.27,28.96,191.29,-1.65,-97.32,-171.06,-98.36,166.43
3514,44988.91,29.57,191.3,-1.64,-97.32,-171.07,-98.36,166.43
3515,45035.22,29.76,191.3,-1.63,-97.31,-171.07,-98.37,166.42
3516,45081.15,30.13,191.31,-1.63,-97.31,-171.08,-98.38,166.42
3517,45126.7,30.47,191.32,-1.62,-97.3,-171.08,-98.39,166.42
3518,45171.84,31.41,191.32,-1.61,-97.3,-171.09,-98.4,166.42
3519,45216.54,31.08,191.33,-1.6,-97.29,-171.1,-98.41,166.42
3520,45260.79,31.35,191.33,-1.6,-97.29,-171.1,-98.42,166.42
3521,45304.57,31.59,191.34,-1.59,-97.28,-171.11,-98.42,166.42
3522,45347.86,31.81,191.34,-1.58,-97.28,-171.11,-98.43,166.42
3523,45390.63,32.0,191.35,-1.58,-97.28,-171.12,-98.44,166.42
3524,45432.87,32.17,191.35,-1.57,-97.27,-171.13,-98.45,166.42
3525,45474.57,32.32,191.36,-1.56,-97.27,-171.13,-98.46,166.41
3526,45515.7,32.44,191.36,-1.55,-97.26,-171.14,-98.46,166.41
3527,45556.25,32.54,191.37,-1.55,-97.26,-171.14,-98.47,166.41
3528,45596.21,32.62,191.37,-1.54,-97.25,-171.15,-98.48,166.41
3529,45635.55,32.68,191.38,-1.53,-97.25,-171.15,-98.49,166.41
3530,45674.27,32.71,191.38,-1.53,-97.25,-171.16,-98.49,166.41
3531,45712.36,32.73,191.39,-1.52,-97.24,-171.16,-98.5,166.41
3532,45749.79,32.72,191.39,-1.52,-97.24,-171.17,-98.51,166.41
3533,45786.55,32.69,191.39,-1.51,-97.23,-171.17,-98.52,166.41
3534,45822.65,32.64,191.4,-1.5,-97.23,-171.18,-98.52,166.41
3535,45858.05,32.56,191.4,-1.5,-97.23,-171.18,-98.53,166.4
3536,45892.76,32.47,191.41,-1.49,-97.22,-171.19,-98.54,166.4
3537,45926.76,32.36,191.41,-1.49,-97.22,-171.19,-98.54,166.4
3538,45960.05,32.23,191.41,-1.48,-97.22,-171.2,-98.55,166.4
3539,45992.61,32.08,191.42,-1.47,-97.21,-171.2,-98.56,166.4
3540,46024.44,31.91,191.42,-1.47,-97.21,-171.2,-98.56,166.4
3541,46055.53,31.73,191.43,-1.46,-97.21,-171.21,-98.57,166.4
3542,46085.87,31.53,191.43,-1.46,-97.2,-171.21,-98.57,166.4
3543,46115.46,31.31,191.43,-1.45,-97.2,-171.22,-98.58,166.4
3544,46144.29,31.07,191.44,-1.45,-97.2,-171.22,-98.58,166.4
3545,46172.35,30.81,191.44,-1.44,-97.19,-171.22,-98.59,166.4
3546,46199.64,30.54,191.44,-1.44,-97.19,-171.23,-98.6,166.4
3547,46226.16,30.26,191.45,-1.43,-97.19,-171.23,-98.6,166.39
3548,46251.91,29.96,191.45,-1.43,-97.18,-171.23,-98.61,166.39
3549,46276.87,29.64,191.45,-1.43,-97.18,-171.24,-98.61,166.39
3550,46301.05,29.31,191.46,-1.42,-97.18,-171.24,-98.62,166.39
3551,46324.44,28.97,191.46,-1.42,-97.18,-171.24,-98.62,166.39
3552,46347.05,28.61,191.46,-1.41,-97.17,-171.25,-98.62,166.39
3553,46368.86,28.24,191.46,-1.41,-97.17,-171.25,-98.63,166.39
3554,46389.89,27.85,191.47,-1.41,-97.17,-171.25,-98.63,166.39
3555,46410.13,27.46,191.47,-1.4,-97.17,-171.26,-98.64,166.39
3556,46429.58,27.05,191.47,-1.4,-97.17,-171.26,-98.64,166.39
3557,46448.24,26.63,191.47,-1.4,-97.16,-171.26,-98.64,166.39
3558,46466.11,26.2,191.47,-1.39,-97.16,-171.26,-98.65,166.39
3559,46483.19,25.76,191.48,-1.39,-97.16,-171.27,-98.65,166.39
3560,46499.5,25.3,191.48,-1.39,-97.16,-171.27,-98.65,166.39
3561,46515.01,24.84,191.48,-1.38,-97.16,-171.27,-98.66,166.39
3562,46529.75,24.37,191.48,-1.38,-97.15,-171.27,-98.66,166.39
3563,46543.71,23.89,191.48,-1.38,-97.15,-171.27,-98.66,166.39
3564,46556.9,23.41,191.48,-1.38,-97.15,-171.28,-98.66,166.38
3565,46569.33,22.91,191.49,-1.37,-97.15,-171.28,-98.67,166.38
3566,46580.99,22.41,191.49,-1.37,-97.15,-171.28,-98.67,166.38
3567,46591.88,21.9,191.49,-1.37,-97.15,-171.28,-98.67,166.38
3568,46602.03,21.38,191.49,-1.37,-97.15,-171.28,-98.67,166.38
3569,46611.42,20.86,191.49,-1.37,-97.14,-171.28,-98.68,166.38
3570,46620.08,20.33,191.49,-1.37,-97.14,-171.28,-98.68,166.38
3571,46627.99,19.8,191.49,-1.36,-97.14,-171.28,-98.68,166.38
3572,46635.18,19.26,191.49,-1.36,-97.14,-171.29,-98.68,166.38
3573,46641.64,18.71,191.49,-1.36,-97.14,-171.29,-98.68,166.38
3574,46647.38,18.17,191.5,-1.36,-97.14,-171.29,-98.68,166.38
3575,46652.42,17.62,191.5,-1.36,-97.14,-171.29,-98.68,166.38
3576,46656.75,17.06,191.5,-1.36,-97.14,-171.29,-98.68,166.38
3577,46660.4,16.51,191.5,-1.36,-97.14,-171.29,-98.69,166.38
3578,46663.35,15.95,191.5,-1.36,-97.14,-171.29,-98.69,166.38
3579,46665.63,15.39,191.5,-1.36,-97.14,-171.29,-98.69,166.38
3580,46667.25,14.82,191.5,-1.36,-97.14,-171.29,-98.69,166.38
3581,46668.2,14.26,191.5,-1.36,-97.14,-171.29,-98.69,166.38
3582,46668.51,13.69,191.5,-1.36,-97.14,-171.29,-98.69,166.38
3583,46668.18,13.13,191.5,-1.36,-97.14,-171.29,-98.69,166.38
3584,46667.22,12.56,191.5,-1.36,-97.14,-171.29,-98.69,166.38
3585,46665.63,12.0,191.5,-1.36,-97.14,-171.29,-98.69,166.38
3586,46663.45,11.44,191.5,-1.36,-97.14,-171.29,-98.69,166.38
3587,46660.66,10.87,191.5,-1.36,-97.14,-171.29,-98.69,166.38
3588,46657.28,10.31,191.5,-1.36,-97.14,-171.29,-98.69,166.38
3589,46653.33,9.75,191.5,-1.36,-97.14,-171.29,-98.69,166.38
3590,46648.82,9.19,191.49,-1.36,-97.14,-171.29,-98.68,166.38
3591,46643.75,8.64,191.49,-1.36,-97.14,-171.29,-98.68,166.38
3592,46638.13,8.09,191.49,-1.36,-97.14,-171.29,-98.68,166.38
3593,46631.99,7.54,191.49,-1.36,-97.14,-171.29,-98.68,166.38
3594,46625.33,6.99,191.49,-1.36,-97.14,-171.28,-98.68,166.38
3595,46618.16,6.45,191.49,-1.36,-97.14,-171.28,-98.68,166.38
3596,46610.49,5.91,191.49,-1.36,-97.14,-171.28,-98.68,166.38
3597,46602.35,5.38,191.49,-1.36,-97.14,-171.28,-98.68,166.38
3598,46593.73,4.85,191.49,-1.37,-97.14,-171.28,-98.67,166.38
3599,46584.65,4.33,191.49,-1.37,-97.14,-171.28,-98.67,166.38
3600,45830.74,53.29,214.36,-3.73,-110.13,-192.0,-109.24,187.25
3601,45828.11,50.98,214.36,-3.73,-110.13,-192.0,-109.25,187.24
3602,45825.55,48.66,214.36,-3.73,-110.13,-192.0,-109.25,187.24
3603,45822.94,46.46,214.36,-3.73,-110.13,-192.0,-109.25,187.24
3604,45820.29,44.36,214.36,-3.73,-110.13,-192.0,-109.25,187.24
3605,45817.6,42.36,214.36,-3.73,-110.13,-192.0,-109.25,187.24
3606,45814.87,40.45,214.36,-3.73,-110.13,-192.0,-109.25,187.24
3607,45812.1,38.64,214.36,-3.73,-110.12,-192.0,-109.25,187.24
3608,45809.31,36.9,214.36,-3.73,-110.12,-192.0,-109.25,187.24
3609,45806.48,35.25,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3610,45803.63,33.68,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3611,45800.75,32.17,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3612,45797.84,30.74,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3613,45794.92,29.38,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3614,45791.97,28.08,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3615,45789.01,26.84,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3616,45786.04,25.66,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3617,45783.06,24.53,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3618,45780.06,23.46,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3619,45777.06,22.44,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3620,45774.05,21.45,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3621,45771.04,20.52,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3622,45768.03,19.64,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3623,45765.02,18.79,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3624,45762.01,17.98,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3625,45759.01,17.21,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3626,45756.01,16.48,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3627,45753.03,15.78,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3628,45750.05,15.11,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3629,45747.09,14.47,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3630,45744.14,13.86,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3631,45741.21,13.28,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3632,45738.3,12.72,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3633,45735.4,12.18,214.36,-3.72,-110.12,-192.0,-109.25,187.24
3634,45732.53,11.69,214.36,-3.71,-110.12,-192.0,-109.25,187.24
3635,45729.68,11.2,214.36,-3.71,-110.12,-192.0,-109.25,187.24
3636,45726.86,10.75,214.36,-3.71,-110.12,-192.0,-109.26,187.24
3637,45724.06,10.32,214.36,-3.71,-110.12,-192.0,-109.26,187.24
3638,45721.29,9.89,214.36,-3.71,-110.12,-192.0,-109.26,187.24
3639,45718.55,9.49,214.36,-3.71,-110.12,-192.0,-109.26,187.24
3640,45715.84,9.15,214.36,-3.71,-110.12,-192.01,-109.26,187.24
3641,45713.16,8.72,214.36,-3.71,-110.11,-192.01,-109.26,187.24
3642,45710.51,8.39,214.36,-3.71,-110.11,-192.01,-109.26,187.24
3643,45707.9,8.06,214.36,-3.71,-110.11,-192.01,-109.26,187.24
3644,45705.33,7.74,214.36,-3.71,-110.11,-192.01,-109.26,187.24
3645,45702.79,7.44,214.36,-3.71,-110.11,-192.01,-109.26,187.24
3646,45700.29,7.37,214.36,-3.71,-110.11,-192.01,-109.26,187.24
3647,45697.83,6.85,214.36,-3.71,-110.11,-192.01,-109.26,187.24
3648,45695.41,6.6,214.36,-3.71,-110.11,-192.01,-109.26,187.24
3649,45693.03,6.35,214.36,-3.71,-110.11,-192.01,-109.26,187.24
3650,45690.7,6.1,214.36,-3.71,-110.11,-192.01,-109.26,187.24
3651,45688.41,5.87,214.36,-3.71,-110.11,-192.01,-109.26,187.24
3652,45686.16,5.7,214.36,-3.71,-110.11,-192.01,-109.26,187.24
3653,45683.96,5.43,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3654,45681.8,5.23,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3655,45679.69,5.03,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3656,45677.63,4.84,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3657,45675.61,4.66,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3658,45673.64,4.61,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3659,45671.73,4.32,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3660,45669.86,4.16,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3661,45668.04,4.01,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3662,45666.27,3.86,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3663,45664.56,3.72,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3664,45662.89,3.58,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3665,45661.28,3.45,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3666,45659.72,3.31,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3667,45658.21,3.2,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3668,45656.75,3.09,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3669,45655.35,2.98,214.36,-3.71,-110.11,-192.01,-109.26,187.23
3670,45654.0,2.87,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3671,45652.7,2.77,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3672,45651.45,2.67,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3673,45650.26,2.58,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3674,45649.12,2.48,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3675,45648.03,2.39,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3676,45646.99,2.31,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3677,45646.01,2.22,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3678,45645.08,2.19,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3679,45644.2,2.38,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3680,45643.36,0.61,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3681,45642.59,1.91,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3682,45641.86,1.84,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3683,45641.18,1.77,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3684,45640.56,1.71,214.36,-3.7,-110.11,-192.01,-109.26,187.23
3685,45639.98,1.64,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3686,45639.45,1.58,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3687,45638.98,1.51,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3688,45638.55,1.46,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3689,45638.17,1.42,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3690,45637.83,1.35,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3691,45637.55,1.3,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3692,45637.31,1.24,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3693,45637.11,1.19,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3694,45636.96,1.15,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3695,45636.86,1.1,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3696,45636.8,1.05,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3697,45636.78,1.01,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3698,45636.8,0.96,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3699,45636.87,0.92,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3700,45636.97,0.88,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3701,45637.12,0.84,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3702,45637.31,0.8,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3703,45637.53,0.76,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3704,45637.79,0.72,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3705,45638.09,0.68,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3706,45638.42,0.65,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3707,45638.79,0.62,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3708,45639.2,0.58,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3709,45639.64,0.55,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3710,45640.11,0.51,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3711,45640.61,0.48,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3712,45641.14,0.45,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3713,45641.7,0.42,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3714,45642.29,0.39,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3715,45642.91,0.36,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3716,45643.56,0.34,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3717,45644.23,0.31,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3718,45644.93,0.28,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3719,45645.65,0.26,214.36,-3.7,-110.11,-192.01,-109.27,187.23
3720,43357.78,97.18,203.3,-3.12,-104.08,-182.7,-104.22,177.33
